raw_data_shape,xy_size,z_size,min_psnr,max_psnr,stacksize,virtual_size,psnr_sampling,max_probability,depth,start_filts,z_conv_stage,group_norm,masked,loss_function,up_mode,activation,block_type,name,lr,patience,batch_size,epochs,depth_scale,rotation,down_mode,Mean_psnr,Std_psnr,Min_psnr,Max_psnr,Mean_ssim,Std_ssim,Min_ssim,Max_ssim
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,5.00E-05,5,1,250,2,10,,30.18398313,0.961260421,27.74321874,33.37834594,0.9017970736,0.01490973511,0.8470263303,0.9394892293
"(3990, 512, 512)",256,32,0.9999,0.9999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,30.17921499,0.7980680284,28.02523498,32.80925969,0.9125949467,0.01133288893,0.8711351039,0.9427370599
"(3990, 512, 512)",128,64,-15.48838973,0.999999,1600,1600,signal,0.999999,2,48,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,8,500,4,0,maxpool,30.10676075,0.818394933,27.75928811,32.83288896,0.9104365701,0.01154340089,0.8643734849,0.9393661699
"(3990, 512, 512)",256,32,-18.46598268,-13.39394927,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,,30.02619033,0.9983516075,27.29421383,33.36005029,0.8952763722,0.01781402628,0.8381668099,0.9393514826
"(3990, 512, 512)",256,16,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,1,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,8,250,2,10,,30.00640707,0.8183625736,28.46298559,33.13943368,0.9011403285,0.0138536211,0.8716440614,0.9409443565
"(3990, 512, 512)",256,32,0.999,0.9999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,4,500,2,0,maxpool,29.94916763,0.8449695611,28.38850099,33.19246118,0.9073490553,0.0127507282,0.8653348824,0.943304383
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,3,4,TRUE,photon,trilinear,relu,tri,adamw,2.00E-05,5,10,250,2,,,29.93277251,0.9629259288,27.70267513,33.3890554,0.9034136422,0.01487717505,0.856397525,0.9434908096
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,relu,tri,adamw,5.00E-05,5,1,250,2,,,29.64843149,0.9902572385,27.31932992,33.10088597,0.8959571392,0.0169526793,0.8406219036,0.940367856
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,silu,tri,adamw,5.00E-05,5,1,250,2,10,,29.56126612,0.9417661405,27.24934786,32.67265969,0.8842384138,0.01716487562,0.8332676043,0.9283077149
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,1000,1000,db,0.99,5,32,3,4,TRUE,photon,trilinear,relu,tri,adamw,2.00E-05,5,10,250,2,,,29.50415596,0.9214522636,27.64446896,32.68719815,0.9000499074,0.0143036369,0.8554204361,0.9396626002
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,mse,pixelshuffle,relu,tri,adamw,5.00E-05,5,1,250,2,0,,29.36966634,1.077451189,26.54754855,33.19947935,0.8951460984,0.01831311602,0.8494373874,0.9430283617
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,relu,tri,adamw,5.00E-05,5,1,250,2,,,29.34853025,0.9610349425,26.92593978,32.53183926,0.889443595,0.01694431904,0.830325504,0.9342716059
"(3990, 512, 512)",128,128,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,36,10,6,TRUE,photon,transpose,relu,Tri,adamw,5.00E-05,5,5,250,2,,,29.31030288,0.9138130506,27.35676604,32.32596819,0.8745913395,0.0175745899,0.8244711715,0.9211938803
